CNTRYID,CNTSCHID,STUBEHA,SCMCEG,TEACHBEHA,W_FSTUWT_SCH_SUM
36,3600334,0.6886,0.9042,0.2524,286.99038
36,3600335,-0.3925,0.3009,-0.4289,129.93316
36,3600336,1.4126,-0.6385,1.6299,254.89496
36,3600337,1.2343,0.9042,-0.0452,45.65084
36,3600338,1.1674,-1.4581,0.6741,406.50385
36,3600339,,,,526.70142
36,3600340,0.735,-0.6263,0.8952,505.16352
36,3600341,1.4126,0.9042,0.6015,339.3467
36,3600342,0.4781,0.9042,1.9913,495.02113
36,3600343,0.6826,-1.0542,1.1314,157.40906
36,3600344,-0.6823,0.9042,0.2266,531.24269
36,3600345,-0.0384,-0.1661,-0.7866,666.01167
36,3600346,-2.0719,-0.5083,-1.2356,151.97226
36,3600347,-0.335,-0.1661,0.2169,76.2663
36,3600348,,,,198.9133
36,3600349,-0.4515,0.9042,-1.2356,454.89551
36,3600350,-0.0384,-0.1661,0.2266,418.02816
36,3600351,0.735,-0.4859,0.83,436.03114
36,3600352,1.4126,0.9042,0.83,212.97605
36,3600353,-0.0384,-1.0542,-1.2356,472.62439
36,3600354,-1.5397,0.287,-0.7733,215.66478
36,3600355,-0.0384,0.9042,-0.4289,324.05399
36,3600356,1.4126,0.3009,0.6015,344.62316
36,3600357,-0.6823,0.9042,-0.4289,185.65946
36,3600358,0.8153,-1.0542,0.9355,487.00733
36,3600359,-0.6823,0.9042,-1.2356,1475.22743
36,3600360,0.6482,0.9042,0.2266,228.16644
36,3600361,-1.5397,0.9042,-0.3913,578.12109
36,3600362,-0.0384,-0.1764,-0.1791,102.85884
36,3600363,0.9325,-2.436,1.9937,573.09162
36,3600364,0.2913,-0.4859,0.5642,125.63404
36,3600365,1.4126,-0.1764,0.5642,303.55237
36,3600366,0.1213,0.9042,1.6299,214.96175
36,3600367,0.6764,-2.4442,0.2266,164.96671
36,3600368,-0.6199,0.9042,-0.1274,45.14139
36,3600369,1.2397,0.287,0.2266,378.03259
36,3600370,,,,368.0983
36,3600371,1.75,0.9042,1.8765,389.15137
36,3600372,-1.1401,-1.0542,0.2266,304.96002
36,3600373,-0.0384,0.9042,0.2266,359.39236
36,3600374,-0.0384,0.9042,1.3735,799.42051
36,3600375,,,,366.05475
36,3600376,-2.0719,-0.4859,0.2266,626.41515
36,3600377,-0.335,-1.0542,0.2266,158.05137
36,3600378,0.2211,-0.1764,1.1913,715.94227
36,3600379,-0.0384,-1.0542,0.2266,287.23671
36,3600380,-0.1936,-0.061,1.6299,550.94807
36,3600381,-0.2112,-1.2021,1.3006,391.70151
36,3600382,0.593,0.9042,0.5672,263.83925
36,3600383,-0.0956,0.9042,-0.7866,282.60528
36,3600384,0.9384,0.9042,0.2266,471.0668
36,3600385,1.4126,-0.1764,0.9355,1046.15761
36,3600386,1.5622,-1.0542,0.8952,98.60593
36,3600387,-0.4515,-2.0884,0.3593,489.59021
36,3600388,0.3762,0.9042,2.161,390.84307
36,3600389,-1.1232,0.9042,-0.3913,298.31877
36,3600390,,,,566.89659
36,3600391,,,,580.74284
36,3600392,-0.0384,0.9042,0.2266,111.09849
36,3600393,0.1715,0.9042,1.3735,480.18269
36,3600394,-0.9148,-1.0542,1.2271,459.13982
36,3600395,1.2397,0.1329,-0.2079,781.23093
36,3600396,1.4126,0.9042,1.6299,611.98174
36,3600397,0.2408,0.9042,0.6825,509.19766
36,3600398,-1.1401,-0.1764,-0.3913,183.2114
36,3600399,0.6482,-1.0542,0.2266,176.4609
36,3600400,-0.5078,0.3009,0.6101,94.74812
36,3600401,-1.4335,0.287,-1.2356,104.05273
36,3600402,-0.0384,0.3009,0.2266,564.19342
36,3600403,0.6405,0.9042,-0.1662,233.83002
36,3600404,0.1715,-0.1764,0.6101,465.22496
36,3600405,1.2343,0.9042,0.2266,467.08753
36,3600406,0.735,-1.4581,0.2266,372.3363
36,3600407,1.2744,-1.0542,1.1799,309.31014
36,3600408,0.1795,0.9042,1.1337,110.85927
36,3600409,0.593,-1.0542,0.83,686.19718
36,3600410,-0.335,0.1571,-0.5079,268.39993
36,3600411,1.0522,-1.0542,0.6101,396.44858
36,3600412,1.3778,0.9042,0.9355,125.55273
36,3600413,1.0522,-1.0542,0.2266,85.87123
36,3600414,-1.1401,-1.0542,0.2266,899.13071
36,3600415,-1.5397,0.9042,-0.0452,308.98815
36,3600416,-0.6199,-1.0542,0.9229,355.51523
36,3600417,-0.0384,-1.0542,0.9355,246.46571
36,3600418,0.1795,0.9042,0.2266,467.23018
36,3600419,-0.4097,0.9042,0.2266,300.78101
36,3600420,0.5209,-0.4859,0.2266,175.43839
36,3600421,-0.8074,0.9042,0.6015,518.44563
36,3600422,-1.4335,0.9042,-0.9138,405.63892
36,3600423,-0.335,-1.0542,0.3085,104.98903
36,3600424,1.4229,-1.9458,1.2655,106.99625
36,3600425,0.2408,0.3009,0.9028,382.58552
36,3600426,1.2033,-1.0542,0.6101,406.79533
36,3600427,0.6764,-1.0542,0.6015,563.4487
36,3600428,,,,458.39185
36,3600429,-0.0384,-1.0238,-0.1662,227.46901
36,3600430,-1.0201,0.9042,-2.0409,195.5888
36,3600431,-1.1976,0.9042,-0.1274,163.05878
36,3600432,,,,347.26641
36,3600433,0.6764,-1.585,-0.0452,196.04168
36,3600434,1.4126,-1.0542,0.2266,418.57731
36,3600435,0.6764,-1.0542,1.6299,230.15093
36,3600436,2.1183,-1.4469,-0.4289,67.48108
36,3600437,1.5622,0.9042,-0.4788,441.89307
36,3600438,-2.0719,-0.6385,-1.2225,393.41802
36,3600439,1.6192,-1.4469,2.5286,380.70101
36,3600440,0.2268,-0.0504,0.3625,427.80876
36,3600441,1.2343,,0.8952,347.67649
36,3600442,1.4495,-2.6882,0.6101,308.38966
36,3600443,1.0465,-0.1868,1.5957,137.15761
36,3600444,-0.0384,-0.1661,1.1337,630.13809
36,3600446,1.2343,0.1571,0.3498,187.09011
36,3600447,0.9763,0.9042,0.6101,158.38629
36,3600448,-0.0384,0.9042,-0.7733,537.75846
36,3600450,0.8944,0.9042,0.2266,301.44018
36,3600451,-1.5397,0.9042,-0.0027,82.30451
36,3600452,0.4781,0.9042,1.1337,357.28669
36,3600453,1.0091,-1.0542,0.6101,533.86647
36,3600454,-0.0384,-1.5648,0.6015,497.53378
36,3600455,-3.3785,0.3009,-1.2225,567.377
36,3600456,0.4781,-1.0542,1.1822,567.99496
36,3600457,1.2343,0.9042,1.2092,468.71475
36,3600458,,,,268.40817
36,3600459,-0.1193,0.9042,1.4533,588.01652
36,3600460,-0.0384,0.9042,0.6101,329.18675
36,3600461,-2.0719,-0.4859,1.1337,539.3738
36,3600462,1.0522,-1.0542,0.3498,481.23925
36,3600463,,,,391.33267
36,3600464,-2.0719,-1.0542,-0.3913,500.75086
36,3600465,1.0522,0.1571,0.2266,114.93634
36,3600466,0.4651,0.1571,0.8952,387.33805
36,3600467,1.2343,-1.4581,0.9355,246.94672
36,3600468,-0.0384,0.287,0.2266,212.44139
36,3600469,0.5081,-2.0884,1.7189,335.8464
36,3600470,0.1795,0.9042,0.6015,184.48997
36,3600471,-0.6199,0.9042,0.2266,286.22394
36,3600472,-3.3785,-1.0542,-0.3881,483.44506
36,3600473,-2.0719,-1.0542,-0.3913,87.99837
36,3600474,0.735,0.9042,0.8952,569.90214
36,3600475,-2.0719,-0.6385,-0.7733,412.14596
36,3600476,-0.6823,0.9042,0.2266,453.10759
36,3600477,0.5094,0.9042,-0.1791,227.59362
36,3600478,1.4464,0.1571,1.3735,412.69057
36,3600479,-0.0384,0.9042,0.2266,457.75871
36,3600480,-0.0384,0.9042,0.2266,403.47968
36,3600481,1.0522,0.287,0.4004,60.86965
36,3600483,1.2343,0.9042,1.1314,331.28037
36,3600484,,,,315.50687
36,3600485,1.2991,-0.6385,0.2266,246.10161
36,3600486,,,,241.4248
36,3600487,-0.0384,-1.0542,0.2266,269.42943
36,3600488,1.2397,0.9042,1.1913,254.35163
36,3600489,1.4126,-1.0389,0.2266,481.63694
36,3600490,1.4126,-1.0542,0.9355,384.87712
36,3600491,-0.0384,-0.1764,0.6015,186.80074
36,3600492,0.6355,0.9042,0.2266,395.14874
36,3600493,0.6764,0.1571,1.1822,235.80808
36,3600494,0.0321,-1.0542,-0.0452,478.34133
36,3600495,0.6482,0.9042,0.2266,449.39738
36,3600496,-0.6364,-1.0542,0.9355,520.0138
36,3600497,-0.0956,0.3009,1.2182,33.21278
36,3600498,1.1622,-1.0542,0.83,313.39864
36,3600499,0.0321,0.9042,0.2266,169.9016
36,3600500,-0.6983,0.9042,-0.4289,427.33005
36,3600501,-0.0468,0.1571,-1.419,459.39936
36,3600502,-0.0384,0.9042,0.6015,562.06733
36,3600503,0.2268,0.9042,0.4004,212.65778
36,3600504,-0.0384,0.9042,1.1913,621.70771
36,3600505,-3.3785,0.9042,-2.0409,423.20523
36,3600506,0.6482,0.9042,-0.1662,12.6371
36,3600507,-0.0384,0.8043,0.2266,468.85846
36,3600508,-0.7912,0.9042,0.3085,654.66374
36,3600509,-2.0719,0.9042,0.3844,478.25643
36,3600510,0.735,-1.9458,0.7075,30.0975
36,3600511,0.6764,-0.5196,1.1337,113.14517
36,3600512,-0.0384,-1.0542,1.0552,171.29479
36,3600513,1.4126,0.1571,0.5642,338.34355
36,3600514,2.8094,-0.3006,0.2266,321.17463
36,3600515,-0.335,-1.0542,0.2266,160.49225
36,3600516,1.4126,-1.0542,1.189,631.73369
36,3600517,0.8944,-2.436,0.933,463.14264
36,3600518,0.9325,0.9042,0.6101,327.09582
36,3600519,0.5222,-1.0542,0.2266,179.39056
36,3600520,0.1795,-1.4581,0.5642,384.62466
36,3600521,-1.1401,0.9042,0.2266,482.75405
36,3600522,-3.3785,0.9042,-1.2225,178.23843
36,3600523,1.1372,0.9042,1.1913,698.55114
36,3600524,0.1795,0.9042,0.2266,498.13415
36,3600525,-0.0956,0.9042,-1.2356,185.67156
36,3600526,,,,712.58105
36,3600527,0.8825,0.9042,1.6299,144.59346
36,3600528,-0.0384,-1.0542,0.6101,352.03894
36,3600529,-0.0384,0.9042,0.2266,277.22144
36,3600530,-0.335,0.9042,0.9355,236.84646
36,3600531,-1.1232,0.9042,-0.4289,564.51298
36,3600532,0.4781,-1.0542,1.0361,285.36993
36,3600533,-0.0384,-1.0542,0.2266,207.47423
36,3600534,1.5517,-0.6385,0.6015,407.11119
36,3600535,-0.0384,0.9042,0.6101,416.24261
36,3600536,0.1795,-0.1661,0.7185,188.86661
36,3600537,1.0522,-0.3006,1.1337,174.24583
36,3600538,-0.0384,-0.1661,0.2266,375.69008
